row_code,row_title
r3,"кількість виборців, внесених на виборчій дільниці до витягу із списку виборців для голосування за місцем перебування"
r7,"загальна кількість виборців, які отримали виборчі бюлетені"
r8,"кількість виборчих бюлетенів, що не підлягають врахуванню"
r2,"кількість виборців, внесених до списку виборців на виборчій дільниці (на момент закінчення голосування)"
r10,"кількість виборчих бюлетенів, визнаних недійсними"
r9,"кількість виборців, які взяли участь у голосуванні на виборчій дільниці"
r4,кількість невикористаних виборчих бюлетенів
r6,"кількість виборців, які отримали виборчі бюлетені за місцем перебування"
r1,"кількість виборчих бюлетенів, одержаних дільничною виборчою комісією"
r5,"кількість виборців, які отримали виборчі бюлетені у приміщенні для голосування"
r11,"кількість голосів виборців, поданих за кожного кандидата на пост Президента України"
r11_1,Балашов Геннадій Вікторович
r11_2,Безсмертний Роман Петрович
r11_3,Богомолець Ольга Вадимівна
r11_4,Богословська Інна Германівна
r11_5,Бойко Юрій Анатолійович
r11_6,Бондар Віктор Васильович
r11_7,Ващенко Олександр Михайлович
r11_8,Вілкул Олександр Юрійович
r11_9,Габер Микола Олександрович
r11_10,Гриценко Анатолій Степанович
r11_11,Данилюк Олександр Володимирович
r11_12,Дерев’янко Юрій Богданович
r11_13,Журавльов Василь Миколайович
r11_14,Зеленський Володимир Олександрович
r11_15,Каплін Сергій Миколайович
r11_16,Кармазін Юрій Анатолійович
r11_17,Кива Ілля Володимирович
r11_18,Корнацький Аркадій Олексійович
r11_19,Кошулинський Руслан Володимирович
r11_20,Кривенко Віктор Миколайович
r11_21,Купрій Віталій Миколайович
r11_22,Литвиненко Юлія Леонідівна
r11_23,Ляшко Олег Валерійович
r11_24,Мороз Олександр Олександрович
r11_25,Наливайченко Валентин Олександрович
r11_26,Насіров Роман Михайлович
r11_27,Новак Андрій Яремович
r11_28,Носенко Сергій Михайлович
r11_29,Петров Володимир Володимирович
r11_30,Порошенко Петро Олексійович
r11_31,Ригованов Руслан Олександрович
r11_32,Скоцик Віталій Євстафійович
r11_33,Смешко Ігор Петрович
r11_34,Соловйов Олександр Миколайович
r11_35,Тарута Сергій Олексійович
r11_36,Тимошенко Юлія Володимирівна
r11_37,Тимошенко Юрій Володимирович
r11_38,Шевченко Ігор Анатолійович
r11_39,Шевченко Олександр Леонідович
